Date,Садовый,Курортный,Степной,Лесной,Научный,Приморский,Северный,Западный,Таежный,Портовый,Алмазный,Полярный,Южный
01.01.2022,-5.01,9.7,-3.89,-6.0,-13.68,2.0,5.25,-5.6,-5.94,9.85,-8.68,-9.71,0.3
02.01.2022,-8.51,9.5,-1.59,-8.9,-10.78,2.7,2.45,-7.0,-6.94,11.55,-6.78,-3.91,1.0
03.01.2022,-8.01,8.3,-5.48,-12.91,-4.18,3.21,3.56,-10.61,-13.93,12.86,-8.28,-3.21,-0.08
04.01.2022,-7.91,8.1,-19.37,-6.22,-5.48,1.62,5.76,-6.72,-9.43,10.66,-7.88,-5.01,1.72
05.01.2022,-5.41,7.3,-19.17,-1.92,-8.98,-0.77,7.67,-6.52,-9.42,11.87,-5.78,-6.11,3.02
06.01.2022,-4.41,8.0,-20.46,-2.83,-5.98,-0.06,5.47,-9.03,-7.92,14.27,0.71,-10.41,2.33
07.01.2022,-4.81,8.3,-15.96,-5.43,-3.48,-0.36,6.98,-6.73,-14.41,12.58,-5.78,0.38,1.73
08.01.2022,-3.81,7.8,-8.35,-2.74,-4.28,-0.15,8.78,-6.44,-19.31,10.78,-12.28,3.38,-2.95
09.01.2022,-4.01,7.3,-1.64,-1.05,-5.58,-0.94,9.39,-7.95,-19.4,12.69,-17.38,5.48,-4.84
10.01.2022,-3.31,8.5,-0.74,-1.25,-5.88,-1.74,6.69,-8.65,-11.3,14.09,-22.78,3.68,-3.44
11.01.2022,-3.91,8.5,0.96,-1.46,-5.88,-0.03,0.1,-8.06,-17.79,13.7,-24.58,-0.71,-3.53
12.01.2022,-4.51,9.01,2.17,-2.97,-9.58,0.37,-0.89,-6.17,-23.79,13.2,-27.28,-1.61,3.17
13.01.2022,-6.91,8.71,1.17,-8.37,-9.58,0.27,-3.09,-7.37,-26.79,10.7,-26.38,-3.61,2.67
14.01.2022,-13.42,5.11,-0.91,-10.78,-11.49,0.38,-4.18,-8.68,-26.98,7.21,-24.77,-8.11,-3.21
15.01.2022,-14.42,6.91,-2.91,-13.48,-10.29,1.68,-5.38,-12.38,-26.28,10.11,-23.17,-4.81,-4.61
16.01.2022,-12.62,3.41,-11.0,-10.79,-11.19,0.69,-4.37,-12.99,-23.07,15.02,-21.47,-6.3,-4.3
17.01.2022,-17.12,4.91,-3.79,-7.8,-12.09,0.3,-7.27,-7.2,-26.97,11.72,-17.37,-3.2,-2.79
18.01.2022,-23.52,8.71,-11.19,-7.2,-17.49,2.1,-8.36,-5.5,-26.26,13.63,-13.37,-10.6,4.6
19.01.2022,-24.62,7.61,-11.28,-7.21,-21.09,2.61,-9.06,-8.31,-14.86,12.73,-11.27,-11.6,4.61
20.01.2022,-22.62,3.11,-22.68,-13.21,-24.29,0.81,-7.25,-9.71,-21.65,9.84,-15.27,-10.9,4.71
21.01.2022,-23.72,6.21,-23.17,-12.82,-20.49,-2.17,-4.15,-12.82,-28.35,13.54,-18.27,-4.3,4.92
22.01.2022,-23.72,9.81,-22.56,-18.73,-21.29,0.13,-7.74,-15.53,-27.24,15.25,-13.67,-10.6,9.73
23.01.2022,-21.82,10.42,-16.66,-18.23,-22.89,-3.26,-12.74,-17.33,-19.14,6.55,-9.97,-8.3,8.03
24.01.2022,-20.92,11.52,-10.75,-21.34,-24.49,-2.35,-8.63,-19.34,-16.53,4.06,-8.97,-22.6,4.04
25.01.2022,-23.02,12.42,-13.25,-22.64,-14.59,3.14,-4.53,-18.64,-15.43,1.56,-12.87,-2.5,0.44
26.01.2022,-20.42,10.72,-16.04,-25.65,-6.59,-2.54,-3.32,-13.55,-22.52,2.67,-15.57,-0.1,-4.04
27.01.2022,-21.32,10.72,-25.23,-11.86,-5.89,-6.33,-8.32,-16.56,-27.52,9.27,-12.27,-3.0,-3.23
28.01.2022,-21.13,15.22,-23.93,-2.26,-4.69,-2.73,-10.81,-6.26,-23.51,10.08,-14.16,-9.4,-0.33
29.01.2022,-27.63,10.22,-27.72,-1.27,-7.69,3.07,-14.31,-5.77,-29.81,5.58,-12.36,-18.2,0.17
30.01.2022,-29.93,8.32,-28.62,-2.77,-13.4,2.17,-14.2,-3.97,-34.5,-5.6,-11.86,-1.4,-2.52
31.01.2022,-26.53,10.02,-27.31,-2.88,-7.5,4.98,-9.9,-7.68,-27.9,-7.1,-15.86,1.39,-1.51
01.02.2022,-22.13,10.22,-28.5,-7.19,-5.9,4.39,-2.49,-10.89,-18.19,-5.89,-21.36,-3.09,1.89
02.02.2022,-19.23,12.82,-29.8,-2.09,-11.8,0.39,-0.39,-3.29,-19.99,-0.79,-21.26,-2.79,2.79
03.02.2022,-14.23,14.33,-23.29,-0.9,-7.0,3.8,1.21,-4.9,-16.68,-0.18,-21.46,-1.79,4.5
04.02.2022,-9.23,15.13,-14.68,-6.91,-8.7,5.21,3.31,-4.81,-4.68,5.51,-23.96,-8.09,8.11
05.02.2022,-8.23,11.83,-12.08,-3.01,-4.9,0.01,1.02,-11.21,-9.67,7.02,-19.66,-6.79,1.91
