Date,Садовый,Курортный,Степной,Лесной,Научный,Приморский,Северный,Западный,Таежный,Портовый,Алмазный,Полярный,Южный
01.01.2003,-0.2,3.8,-5.3,-4.7,-20.1,0.6,0.5,-4.3,-10.7,5.1,-13.6,-14.0,-1.1
02.01.2003,-3.7,3.6,-3.0,-7.6,-16.3,1.3,-2.3,-5.7,-11.7,6.8,-11.7,-8.2,-0.4
03.01.2003,-3.2,2.4,-6.9,-11.6,-17.1,1.8,-1.2,-9.3,-18.7,8.1,-13.2,-7.5,-1.5
04.01.2003,-3.1,2.2,-20.8,-4.9,-18.7,0.2,1.0,-5.4,-14.2,5.9,-12.8,-9.3,0.3
05.01.2003,-0.6,1.4,-20.6,-0.6,-20.3,-2.2,2.9,-5.2,-14.2,7.1,-10.7,-10.4,1.6
06.01.2003,0.4,2.1,-21.9,-1.5,-10.4,-1.5,0.7,-7.7,-12.7,9.5,-4.2,-14.7,0.9
07.01.2003,0.0,2.4,-17.4,-4.1,-2.4,-1.8,2.2,-5.4,-19.2,7.8,-10.7,-3.9,0.3
08.01.2003,1.0,1.9,-9.8,-1.4,-1.7,-1.6,4.0,-5.1,-24.1,6.0,-17.2,-0.9,-4.4
09.01.2003,0.8,1.4,-3.1,0.3,-0.5,-2.4,4.6,-6.6,-24.2,7.9,-22.3,1.2,-6.3
10.01.2003,1.5,2.6,-2.2,0.1,-3.5,-3.2,1.9,-7.3,-16.1,9.3,-27.7,-0.6,-4.9
11.01.2003,0.9,2.6,-0.5,-0.1,-9.2,-1.5,-4.7,-6.7,-22.6,8.9,-29.5,-5.0,-5.0
12.01.2003,0.3,3.1,0.7,-1.6,-3.3,-1.1,-5.7,-4.8,-28.6,8.4,-32.2,-5.9,1.7
13.01.2003,-2.1,2.8,-0.3,-7.0,-1.7,-1.2,-7.9,-6.0,-31.6,5.9,-31.3,-7.9,1.2
14.01.2003,-8.6,-0.8,-2.4,-9.4,-7.6,-1.1,-9.0,-7.3,-31.8,2.4,-29.7,-12.4,-4.7
15.01.2003,-9.6,1.0,-4.4,-12.1,-2.8,0.2,-10.2,-11.0,-31.1,5.3,-28.1,-9.1,-6.1
16.01.2003,-7.8,-2.5,-12.5,-9.4,-4.5,-0.8,-9.2,-11.6,-27.9,10.2,-26.4,-10.6,-5.8
17.01.2003,-12.3,-1.0,-5.3,-6.4,-0.7,-1.2,-12.1,-5.8,-31.8,6.9,-22.3,-7.5,-4.3
18.01.2003,-18.7,2.8,-12.7,-5.8,1.4,0.6,-13.2,-4.1,-31.1,8.8,-18.3,-14.9,3.1
19.01.2003,-19.8,1.7,-12.8,-5.8,1.0,1.1,-13.9,-6.9,-19.7,7.9,-16.2,-15.9,3.1
20.01.2003,-17.8,-2.8,-24.2,-11.8,1.0,-0.7,-12.1,-8.3,-26.5,5.0,-20.2,-15.2,3.2
21.01.2003,-18.9,0.3,-24.7,-11.4,-1.2,-3.7,-9.0,-11.4,-33.2,8.7,-23.2,-8.6,3.4
22.01.2003,-18.9,3.9,-24.1,-17.3,-0.6,-1.4,-12.6,-14.1,-32.1,10.4,-18.6,-14.9,8.2
23.01.2003,-17.0,4.5,-18.2,-16.8,0.2,-4.8,-17.6,-15.9,-24.0,1.7,-14.9,-12.6,6.5
24.01.2003,-16.1,5.6,-12.3,-19.9,-0.5,-3.9,-13.5,-17.9,-21.4,-0.8,-13.9,-26.9,2.5
25.01.2003,-18.2,6.5,-14.8,-21.2,-1.3,1.6,-9.4,-17.2,-20.3,-3.3,-17.8,-6.8,-1.1
26.01.2003,-15.6,4.8,-17.6,-24.2,-2.1,-4.1,-8.2,-12.1,-27.4,-2.2,-20.5,-4.4,-5.6
27.01.2003,-16.5,4.8,-26.8,-10.4,-1.3,-7.9,-13.2,-15.1,-32.4,4.4,-17.2,-7.3,-4.8
28.01.2003,-16.3,9.3,-25.5,-0.8,-2.6,-4.3,-15.7,-4.8,-28.4,5.2,-19.1,-13.7,-1.9
29.01.2003,-22.8,4.3,-29.3,0.2,0.5,1.5,-19.2,-4.3,-34.7,0.7,-17.3,-22.5,-1.4
30.01.2003,-25.1,2.4,-30.2,-1.3,0.6,0.6,-19.1,-2.5,-39.4,-10.5,-16.8,-5.7,-4.1
31.01.2003,-21.7,4.1,-28.9,-1.4,-1.4,3.4,-14.8,-6.2,-32.8,-12.0,-20.8,-2.9,-3.1
01.02.2003,-17.3,4.3,-30.1,-5.7,-7.7,2.8,-7.4,-9.4,-23.1,-10.8,-26.3,-7.4,0.3
02.02.2003,-14.4,6.9,-31.4,-0.6,-9.6,-1.2,-5.3,-1.8,-24.9,-5.7,-26.2,-7.1,1.2
