,Садовый,Курортный,Степной,Лесной,Научный,Приморский,Северный,Западный,Таежный,Портовый,Алмазный,Полярный,Южный,Date,Month,Year
0,-5.130276,9.687399,-3.8601694,-6.0308895,-12.866524,2.2731016,5.4965262,-5.5571175,-5.9093127,9.89894,-8.581875,-9.408531,0.28678498,1,January,2023
1,-8.276475,9.52932,-1.515287,-8.867435,-10.317875,2.750279,2.6706767,-7.0606794,-6.976286,11.748372,-6.8392835,-4.1607223,0.87598157,2,January,2023
2,-8.017071,8.402795,-5.49403,-12.449075,-5.446472,3.342536,3.6075299,-10.444866,-13.310855,12.847303,-8.165009,-3.4455316,-0.20549142,3,January,2023
3,-8.053384,8.141061,-19.529003,-6.310912,-5.6118064,1.8412956,5.4840026,-6.7275386,-9.651422,11.082445,-7.767625,-4.7961984,1.8421615,4,January,2023
4,-5.404938,7.3266153,-19.438988,-2.0561106,-7.0052085,-0.7320139,7.5625515,-6.565721,-9.602669,12.164723,-5.7953224,-5.91614,3.204099,5,January,2023
5,-4.6066656,7.9101143,-20.462666,-2.7556195,-5.4786353,-0.3530593,5.6230907,-8.799663,-7.9494805,13.848317,0.32677048,-10.096377,2.3119907,6,January,2023
6,-4.7285624,8.22895,-15.990952,-5.340526,-4.2729506,-0.27428344,7.0563283,-6.7582784,-14.058812,12.3463745,-5.4794693,0.28501186,2.0345943,7,January,2023
7,-4.0782437,7.56537,-8.410859,-2.8358939,-5.296093,-0.28837904,8.726241,-6.5236835,-19.125904,11.0041685,-12.237563,3.1115272,-2.970154,8,January,2023
8,-4.023519,7.332241,-1.4425771,-1.2630733,-6.1152368,-1.2740335,9.258403,-8.014702,-19.331804,12.543772,-17.300499,4.989405,-4.7781706,9,January,2023
9,-3.6485937,8.655514,-0.77664113,-1.3963428,-7.036067,-1.7526474,6.7438,-8.570101,-11.371099,13.667695,-23.041037,3.2113118,-3.5041285,10,January,2023
10,-4.1202908,8.909405,1.0652719,-1.3827612,-7.245708,0.018244596,0.19175655,-8.113876,-17.086245,13.458255,-24.810783,-0.48777705,-3.421988,11,January,2023
11,-4.868132,8.995524,1.9915361,-3.0831149,-9.006561,0.49724305,-1.0212425,-6.242346,-24.184278,12.917497,-26.637726,-2.0624554,2.878896,12,January,2023
12,-6.8858843,8.790749,1.2498178,-8.807464,-9.206538,0.33181977,-2.9661455,-7.4586124,-26.234974,11.206449,-26.318476,-3.4395256,2.6723204,13,January,2023
13,-13.055119,5.2461014,-0.88716143,-10.944152,-10.111623,0.6771823,-3.4564729,-8.526243,-26.762793,8.3458605,-24.86562,-6.918788,-3.1668913,14,January,2023
14,-14.279191,7.130767,-2.722715,-13.160779,-10.546704,1.7160057,-5.533194,-12.139721,-26.235926,10.884206,-23.344461,-4.754006,-4.546158,15,January,2023
15,-12.799441,3.0622463,-10.134232,-10.754074,-10.873055,0.96085566,-4.831448,-12.748647,-23.484669,14.304685,-21.390009,-5.8967357,-4.3099747,16,January,2023
16,-17.024998,4.9787602,-3.8592143,-7.8993616,-14.707391,0.6857724,-7.4506874,-7.2634974,-26.727404,11.867963,-16.835775,-3.7879922,-2.8265657,17,January,2023
17,-23.775171,8.629718,-10.941503,-7.326248,-17.682476,2.4733114,-8.591236,-5.593252,-25.99152,13.08524,-12.9511795,-10.472951,4.729892,18,January,2023
18,-24.452236,7.6563287,-11.384885,-7.5462403,-21.876175,2.8412457,-9.163472,-8.1725855,-15.386737,12.284972,-11.567073,-11.324054,4.73972,19,January,2023
19,-22.872793,3.2671406,-22.8248,-12.894711,-21.660164,0.8785222,-7.4890323,-9.890274,-22.433931,10.633641,-15.230907,-10.634738,4.834576,20,January,2023
20,-23.368404,6.343967,-23.254475,-12.810934,-21.920673,-2.1282287,-3.5874252,-12.647365,-28.796894,13.220033,-18.140917,-4.897163,5.178324,21,January,2023
21,-23.623053,9.705937,-22.442179,-18.698536,-22.890537,-0.023686627,-7.863812,-15.584375,-27.884962,14.171549,-13.694321,-10.092465,9.618989,22,January,2023
22,-21.870804,10.35133,-16.734394,-18.394907,-23.121775,-3.450629,-13.366004,-17.342016,-19.317007,6.5771174,-9.961602,-8.435542,7.8272734,23,January,2023
23,-21.074697,11.534616,-11.067179,-21.34853,-21.712484,-2.7123456,-8.453062,-19.010382,-16.212948,4.373768,-9.307811,-22.145716,3.8055353,24,January,2023
24,-22.432297,12.108668,-13.285294,-22.47898,-14.355825,3.5398338,-4.3892117,-18.356024,-15.375976,1.8807285,-12.958357,-2.5327108,0.54683906,25,January,2023
25,-20.76366,10.7356415,-16.001175,-25.06632,-7.152237,-2.7244308,-3.4114633,-13.757863,-22.666418,2.84195,-14.956921,-1.0332344,-3.8675995,26,January,2023
26,-20.98495,10.837508,-25.144339,-11.780581,-6.621943,-6.9527736,-8.310435,-16.197552,-27.513412,8.725349,-12.408346,-3.0920887,-3.2447069,27,January,2023
27,-21.220406,15.069239,-24.317747,-2.3917563,-6.9714575,-2.9529326,-10.44163,-6.298374,-23.574347,9.464239,-14.104536,-9.443959,-0.19465871,28,January,2023
28,-27.587309,10.120605,-27.73507,-1.3812134,-8.405239,3.0424643,-14.297718,-5.8052115,-29.773214,5.8663697,-12.316493,-17.364435,0.099105105,29,January,2023
29,-29.677261,8.381496,-28.505384,-2.8557758,-10.375486,2.2824447,-14.255841,-4.013625,-34.317936,-5.514834,-12.039832,-1.575704,-2.4285302,30,January,2023
30,-26.565884,9.870941,-27.369164,-2.8643491,-7.7929535,5.0906763,-9.797916,-7.6606584,-27.918234,-6.9231997,-15.846763,1.2026198,-1.5861274,31,January,2023
31,-22.184956,10.065911,-28.555706,-7.1797056,-7.7509093,4.0364947,-2.3091595,-10.519008,-18.094957,-6.081707,-21.357035,-3.293284,2.0058808,1,February,2023
32,-19.273504,12.946235,-29.56209,-2.2036586,-9.210281,0.5005548,-0.6202729,-3.3293996,-19.919455,-0.7904131,-21.21496,-2.8738244,2.8071067,2,February,2023
33,-14.3507185,14.393873,-23.280819,-1.1368709,-7.816752,3.6050122,1.1574278,-4.7536187,-16.68961,0.044267725,-21.479332,-1.8224937,4.6821837,3,February,2023
34,-9.3525915,15.061024,-14.52238,-6.785975,-7.0591297,4.768025,2.9279802,-4.940899,-19.295147,6.232809,-24.199917,-8.161697,8.119258,4,February,2023
35,-8.171583,11.935339,-12.073467,-3.2526507,-4.268582,0.19571726,0.8186264,-10.844108,-10.344184,7.0023203,-19.921646,-6.770997,2.0633876,5,February,2023
36,-13.48402,11.161948,-17.18698,-5.534847,-3.3033054,0.60756177,-2.3001785,-9.382361,-15.443266,8.060388,-14.745064,-3.7358103,0.7468796,6,February,2023
37,-13.472958,10.753009,-21.242935,-1.323451,-3.4514968,0.6615566,-1.4776363,-10.989416,-11.94133,8.24277,-12.647478,-3.2208505,2.947997,7,February,2023
38,-7.7693315,9.349342,-23.983456,-0.3774701,-4.306312,0.8369885,4.947316,-10.63872,3.0510151,10.616931,-9.335346,1.3237866,2.5848405,8,February,2023
39,-7.563791,9.828891,-21.603127,0.022411814,-5.1320143,5.1908,6.592969,-10.196815,2.22387,14.540197,-14.318051,-1.6686347,3.1838868,9,February,2023
40,-9.793957,10.141863,-21.141697,-0.5574935,-4.4826603,8.239083,6.2059846,-9.01599,2.5559244,15.3073225,-13.953735,-2.4235451,3.9835434,10,February,2023
